transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C17H12.8	17.941173495397823	-0.1816274712239625	0.4475244509208447	-0.4058492689063991	0.6848533552029579	0.9987629940528188
C44B11.6.1	25.56567234081044	-0.5373055846572955	0.4379532151382305	-1.2268561254601285	0.2198766714403135	0.9987629940528188
D1086.7.1	35.61779991873212	-0.5962079603069532	0.3062413377977987	-1.946856569378658	0.0515519327070352	0.6694319125311994
F07G6.10.1	17.882610321844595	-1.593468140442741	0.4760659860450922	-3.347158140157088	0.0008164462012163	0.0647147916932102
F14D2.13a.1	3.672002246537766	-5.335251995146122	2.155844439488986	-2.4747852384055924	0.0133316315876226	
F14D2.4a.1	6.684507598789388	-6.199227537811566	2.049159122175848	-3.0252543449281153	0.0024842411923412	0.1236877474056153
F30B5.4b.1	33.67999042180368	0.3954309507933355	0.3168576371324822	1.2479767076846593	0.2120395872395464	0.9987629940528188
F43E2.5	311.78141324454924	-0.542589559360973	0.2910419681181739	-1.8643000625279624	0.0622795780535018	0.7463418769954596
F54D10.2.1	1.1633915263098793	0.3949089487533364	1.5631393594504577	0.2526383501034558	0.8005476920088884	
F59A1.8	7.802228443131722	-0.3273006215657803	0.6316512950527835	-0.5181666278993851	0.6043420165847403	0.9987629940528188
M03C11.2.1	4.330750141127725	5.549640215200555	2.3642539901597353	2.347311345692434	0.0189094463631446	
M03C11.2.2	20.562328368624385	-0.5438209969350011	0.5435729102802535	-1.0004563999604392	0.3170896874074419	0.9987629940528188
R06B10.3.1	79.72861594536046	-0.2342302094269108	0.223811665600681	-1.046550495025663	0.2953069444007581	0.9987629940528188
R06B9.3.1	0.0					
R06B9.3.2	32.85833217852596	0.3304868402977767	0.3210109735055902	1.029518825131445	0.303235938279594	0.9987629940528188
R07B7.2b.1	0.8341410637142804	0.5542600463143782	1.8975832868153115	0.2920873355944156	0.7702198494216393	
T05A10.3.1	21.094836573795288	-1.5242955491389585	0.4737635472442335	-3.2174183894168555	0.0012934982031238	0.0821537192086591
T05G11.1a	12.10461581635686	0.4184178116942637	0.5076819971880072	0.8241730335364112	0.4098412470734712	0.9987629940528188
T23B12.14	14.08720359619408	-0.8165490549583725	0.542265187162268	-1.505811315735501	0.1321156176333783	0.9987629940528188
W02D9.5.1	21.731490555715663	0.046134053373309	0.3994675084304607	0.1154888755648073	0.9080576374910184	0.9987629940528188
Y17D7B.4.1	9.710274885214432	-6.737354753407753	2.0175350399710466	-3.3393991281085458	0.0008395983698983	0.0654444747414864
Y43F8C.2.1	55.97597508732801	-0.9256004977300644	0.3218387663152504	-2.8759757823065097	0.0040278061347492	0.1628877680942679
Y65B4A.11	0.0					
ZK6.7c.1	11.328998579147587	2.3805590352419412	1.0372877899470108	2.2949841483852333	0.0217340327476997	0.4189509658836762
