transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C17H12.8	12.106204488764297	-1.1068253367352463	0.5989956518682098	-1.847801955294942	0.0646309979626319	0.517519362475671
C44B11.6.1	41.85131682383848	1.123812848337298	0.6808688980964193	1.6505568861777449	0.0988290885403706	0.6437919327209178
D1086.7.1	37.553918302199584	0.0165816954755524	0.4237486920676875	0.0391309655603698	0.9687859729218948	0.9998644113329976
F07G6.10.1	19.76822836351283	-0.5404551975662875	0.5824088039843125	-0.927965363622568	0.3534255366276956	0.9998644113329976
F14D2.13a.1	3.1690826198489597	-4.893541708210736	2.231497288054434	-2.1929409165794893	0.02831163623871	
F14D2.4a.1	5.785559914752927	-5.761120839290809	2.0931657988312264	-2.7523480665065714	0.0059169595094445	
F30B5.4b.1	25.263598213041988	0.0241773200712682	0.4494846651638987	0.0537889764547412	0.9571032923205032	0.9998644113329976
F43E2.5	364.9936977774651	0.3595372694132214	0.660793381639298	0.544099380234833	0.5863730869340074	0.9998644113329976
F54D10.2.1	1.2553911155426665	0.8746749656848793	1.6391076895222791	0.5336287367060092	0.5935984223409543	
F59A1.8	8.585898914368926	0.3361727874992323	0.7125601684457806	0.4717816156248032	0.637082674574849	
M03C11.2.1	2.4625307654039816	4.920974740073905	2.618713350657035	1.8791574644239823	0.0602229956551571	
M03C11.2.2	17.921798844475983	-0.4926071892466442	0.6209936491204303	-0.7932564043841166	0.4276284510113896	0.9998644113329976
R06B10.3.1	76.94956309810452	0.0930873564929281	0.2897371691342731	0.321282066678123	0.7479966453405024	0.9998644113329976
R06B9.3.1	0.6798829675518352	3.1022673214943315	4.2706547394615555	0.726414920135985	0.4675844473108014	
R06B9.3.2	21.463734303269337	-0.4949226853506127	0.448054843032393	-1.1046029142348346	0.2693316877702885	0.9998644113329976
R07B7.2b.1	1.0510533395535422	1.3766236032853847	1.883151927699732	0.7310209989094872	0.4647663267241313	
T05A10.3.1	20.452776307514508	-0.9599842278099928	0.5327356044033439	-1.8019899925501717	0.0715469800743631	0.5537357850613295
T05G11.1a	9.613180434265184	0.198927155759945	0.6261324979017459	0.3177077638144909	0.7507066214600856	0.9998644113329976
T23B12.14	29.542794030458825	1.4920006508115085	0.5509582751775518	2.708010239669594	0.0067687933969433	0.1720721632041958
W02D9.5.1	16.780800400976556	-0.2740398902637468	0.5677008499342024	-0.4827188303408538	0.6292953911048492	0.9998644113329976
Y17D7B.4.1	24.16073472385075	0.8975255725047206	0.4307043839583605	2.0838552054104267	0.0371733399794895	0.389580547106003
Y43F8C.2.1	53.95456515962319	-0.5238837204027166	0.3873174437915833	-1.352595213048602	0.1761849825710846	0.8453028125541656
Y65B4A.11	9.01835543297017	6.8274236677590325	2.1392915801066943	3.1914413777193125	0.0014156483552679	0.0793365482505505
ZK6.7c.1	13.037524952488384	2.8556129790411435	1.008748258376097	2.8308479894063625	0.0046424779116621	0.1438621978743309
